commence_time,home_team_name,away_team_name,spread,home_spread_odds,away_spread_odds,home_money_line_odds,away_money_line_odds,home_score,away_score
2023-05-03 00:40:00,Colorado Rockies,Milwaukee Brewers,1.5,-120.00,100.00,130.00,-154.00,3,2
2023-05-03 01:40:00,San Diego Padres,Cincinnati Reds,-1.5,115.00,-135.00,-166.00,140.00,1,2
2023-05-03 01:40:00,Oakland Athletics,Seattle Mariners,1.5,-140.00,120.00,134.00,-158.00,1,2
2023-05-03 02:10:00,Los Angeles Dodgers,Philadelphia Phillies,-1.5,115.00,-135.00,-184.00,154.00,13,1
2023-05-02 23:10:00,Boston Red Sox,Toronto Blue Jays,1.5,-165.00,140.00,-240.00,186.00,7,6
2023-05-03 00:05:00,Texas Rangers,Arizona Diamondbacks,1.5,-145.00,125.00,130.00,-154.00,6,4
2023-05-03 18:10:00,Houston Astros,San Francisco Giants,-1.5,130.00,-150.00,-166.00,140.00,2,4
2023-05-03 20:10:00,San Diego Padres,Cincinnati Reds,-1.5,-125.00,105.00,-250.00,205.00,7,1
2023-05-03 22:40:00,Detroit Tigers,New York Mets,1.5,110.00,-130.00,176.00,-210.00,8,1
2023-05-03 22:39:46,Tampa Bay Rays,Pittsburgh Pirates,-1.5,110.00,-130.00,-235.00,194.00,8,1
2023-05-03 23:10:00,Boston Red Sox,Toronto Blue Jays,1.5,-150.00,130.00,130.00,-154.00,8,3
2023-05-04 01:40:00,Oakland Athletics,Seattle Mariners,1.5,-120.00,100.00,158.00,-188.00,2,7
2023-05-03 23:05:00,Washington Nationals,Chicago Cubs,1.5,-135.00,105.00,146.00,-186.00,2,1
2023-05-04 17:10:00,Detroit Tigers,New York Mets,1.5,-110.00,-110.00,160.00,-190.00,2,0
2023-05-04 17:10:00,Tampa Bay Rays,Pittsburgh Pirates,-1.5,120.00,-140.00,-205.00,172.00,3,2
2023-05-04 18:10:00,Kansas City Royals,Baltimore Orioles,1.5,-125.00,105.00,138.00,-164.00,10,13
2023-05-04 19:10:00,Colorado Rockies,Milwaukee Brewers,1.5,-120.00,100.00,130.00,-154.00,9,6
2023-05-04 19:37:00,Oakland Athletics,Seattle Mariners,1.5,105.00,-125.00,205.00,-250.00,3,5
2023-05-04 22:10:00,Boston Red Sox,Toronto Blue Jays,1.5,-130.00,110.00,138.00,-164.00,11,5
2023-05-05 18:20:00,Chicago Cubs,Miami Marlins,-1.0,-110.00,-110.00,-168.00,142.00,4,1
2023-05-05 22:35:00,Pittsburgh Pirates,Toronto Blue Jays,1.5,-130.00,110.00,132.00,-156.00,0,4
2023-05-05 23:05:00,Philadelphia Phillies,Boston Red Sox,-1.5,125.00,-145.00,-178.00,150.00,3,5
2023-05-05 23:10:00,New York Mets,Colorado Rockies,-1.5,-115.00,-105.00,-250.00,205.00,1,0
2023-05-05 23:20:00,Atlanta Braves,Baltimore Orioles,-1.5,-105.00,-115.00,-210.00,176.00,4,9
2023-05-06 00:10:00,Kansas City Royals,Oakland Athletics,-1.5,125.00,-145.00,-162.00,136.00,8,12
2023-05-06 00:15:00,St. Louis Cardinals,Detroit Tigers,-1.5,-115.00,-105.00,-245.00,200.00,4,5
2023-05-06 01:40:00,Arizona Diamondbacks,Washington Nationals,-1.5,105.00,-125.00,-180.00,152.00,3,1
2023-05-06 18:15:00,St. Louis Cardinals,Detroit Tigers,-1.5,-105.00,-115.00,-215.00,180.00,5,6
