commence_time,first_home_odds,last_home_odds,home_line_movement,first_away_odds,last_away_odds,away_line_movement,home_score,away_score,result
2023-09-10 00:15:00,194.00,190.00,-4.00,-235.00,-230.00,5.00,7,6,HOME WIN
2023-09-13 00:40:00,160.00,156.00,-4.00,-190.00,-186.00,4.00,6,4,HOME WIN
2024-03-20 10:05:00,162.00,158.00,-4.00,-194.00,-188.00,6.00,2,5,AWAY WIN
2023-07-31 23:05:00,164.00,158.00,-6.00,-196.00,-205.00,-9.00,5,3,HOME WIN
2024-05-29 00:20:00,190.00,184.00,-6.00,-230.00,-220.00,10.00,2,7,AWAY WIN
2024-06-19 00:40:00,166.00,160.00,-6.00,-198.00,-190.00,8.00,9,11,AWAY WIN
2023-04-05 01:40:00,172.00,164.00,-8.00,-205.00,-196.00,9.00,4,3,HOME WIN
2023-07-15 00:40:00,176.00,168.00,-8.00,-210.00,-200.00,10.00,7,2,HOME WIN
2024-06-20 00:40:00,180.00,172.00,-8.00,-215.00,-205.00,10.00,7,6,HOME WIN
2024-08-18 00:11:00,180.00,172.00,-8.00,-215.00,-205.00,10.00,3,8,AWAY WIN
2024-09-14 01:39:00,188.00,180.00,-8.00,-225.00,-215.00,10.00,3,5,AWAY WIN
2023-03-31 02:07:00,194.00,184.00,-10.00,-235.00,-220.00,15.00,2,1,HOME WIN
2023-07-23 01:07:00,166.00,156.00,-10.00,-198.00,-186.00,12.00,4,1,HOME WIN
2023-09-16 00:10:00,176.00,166.00,-10.00,-210.00,-198.00,12.00,4,2,HOME WIN
2024-06-26 00:10:00,198.00,188.00,-10.00,-240.00,-225.00,15.00,3,4,AWAY WIN
2024-09-10 23:41:00,184.00,172.00,-12.00,-220.00,-225.00,-5.00,0,5,AWAY WIN
2023-06-06 23:10:00,176.00,162.00,-14.00,-210.00,-215.00,-5.00,9,8,HOME WIN
2023-06-30 00:40:00,176.00,162.00,-14.00,-210.00,-194.00,16.00,3,14,AWAY WIN
2023-09-06 01:40:00,176.00,160.00,-16.00,-210.00,-190.00,20.00,1,7,AWAY WIN
2024-04-26 23:40:00,205.00,172.00,-33.00,-250.00,-225.00,25.00,9,4,HOME WIN
