commence_time,first_away_odds,last_away_odds,away_line_movement,first_home_odds,last_home_odds,home_line_movement,home_score,away_score,result
2023-08-28 23:40:00,138.00,146.00,8.00,-164.00,-186.00,-22.00,10,6,HOME WIN
2024-04-04 23:40:00,136.00,144.00,8.00,-162.00,-182.00,-20.00,10,1,HOME WIN
2024-04-10 01:45:00,146.00,154.00,8.00,-174.00,-184.00,-10.00,3,5,AWAY WIN
2024-05-14 01:40:00,126.00,134.00,8.00,-148.00,-158.00,-10.00,6,5,HOME WIN
2024-06-05 00:10:00,126.00,134.00,8.00,-148.00,-158.00,-10.00,8,5,HOME WIN
2024-07-11 00:11:00,128.00,136.00,8.00,-152.00,-162.00,-10.00,9,0,HOME WIN
2024-07-23 00:06:00,136.00,144.00,8.00,-162.00,-172.00,-10.00,4,3,HOME WIN
2024-09-18 23:11:00,136.00,144.00,8.00,-162.00,-186.00,-24.00,10,0,HOME WIN
2023-04-01 01:40:00,154.00,160.00,6.00,-184.00,-190.00,-6.00,1,4,AWAY WIN
2023-04-01 02:10:00,158.00,164.00,6.00,-188.00,-196.00,-8.00,1,2,AWAY WIN
2023-04-11 00:05:00,140.00,146.00,6.00,-166.00,-174.00,-8.00,11,2,HOME WIN
2023-05-17 00:10:00,144.00,150.00,6.00,-172.00,-178.00,-6.00,7,3,HOME WIN
2023-06-07 00:30:00,136.00,142.00,6.00,-162.00,-168.00,-6.00,6,4,HOME WIN
2023-06-14 01:40:00,136.00,142.00,6.00,-162.00,-168.00,-6.00,6,3,HOME WIN
2023-08-25 01:40:00,144.00,150.00,6.00,-172.00,-178.00,-6.00,3,2,HOME WIN
2024-03-31 01:40:00,132.00,138.00,6.00,-156.00,-164.00,-8.00,4,3,HOME WIN
2024-04-04 00:10:00,126.00,132.00,6.00,-148.00,-156.00,-8.00,8,0,HOME WIN
2024-04-16 01:40:00,128.00,134.00,6.00,-152.00,-158.00,-6.00,2,3,AWAY WIN
2024-05-13 23:20:00,128.00,134.00,6.00,-152.00,-172.00,-20.00,2,0,HOME WIN
2024-05-14 01:40:00,124.00,130.00,6.00,-146.00,-154.00,-8.00,6,2,HOME WIN
2024-06-01 00:10:00,146.00,152.00,6.00,-174.00,-180.00,-6.00,12,5,HOME WIN
2024-07-04 00:11:00,140.00,146.00,6.00,-166.00,-174.00,-8.00,2,9,AWAY WIN
2024-07-06 00:11:00,124.00,130.00,6.00,-146.00,-154.00,-8.00,12,13,AWAY WIN
2024-08-24 02:11:00,158.00,164.00,6.00,-188.00,-196.00,-8.00,7,3,HOME WIN
2024-09-06 00:41:00,128.00,134.00,6.00,-152.00,-158.00,-6.00,3,4,AWAY WIN
2024-09-11 00:11:00,154.00,160.00,6.00,-184.00,-190.00,-6.00,3,4,AWAY WIN
2023-03-31 01:40:00,176.00,180.00,4.00,-210.00,-215.00,-5.00,2,7,AWAY WIN
2023-04-19 01:40:00,138.00,142.00,4.00,-164.00,-168.00,-4.00,5,6,AWAY WIN
2023-04-22 00:10:00,140.00,144.00,4.00,-166.00,-172.00,-6.00,3,5,AWAY WIN
2023-05-28 02:07:00,176.00,180.00,4.00,-210.00,-215.00,-5.00,5,8,AWAY WIN
2023-06-09 23:20:00,168.00,172.00,4.00,-200.00,-225.00,-25.00,3,2,HOME WIN
2023-07-09 02:10:00,146.00,150.00,4.00,-174.00,-178.00,-4.00,3,1,HOME WIN
2023-07-27 00:10:00,150.00,154.00,4.00,-178.00,-184.00,-6.00,5,13,AWAY WIN
2023-08-03 00:05:00,132.00,136.00,4.00,-156.00,-162.00,-6.00,16,6,HOME WIN
2023-08-04 01:38:00,130.00,134.00,4.00,-154.00,-158.00,-4.00,3,5,AWAY WIN
2023-08-05 00:15:00,160.00,164.00,4.00,-190.00,-196.00,-6.00,4,9,AWAY WIN
2023-08-13 01:40:00,134.00,138.00,4.00,-158.00,-164.00,-6.00,0,1,AWAY WIN
2023-09-02 00:05:00,128.00,132.00,4.00,-152.00,-156.00,-4.00,1,5,AWAY WIN
2023-09-03 00:40:00,140.00,144.00,4.00,-166.00,-172.00,-6.00,6,1,HOME WIN
2024-05-15 01:40:00,134.00,138.00,4.00,-158.00,-164.00,-6.00,2,4,AWAY WIN
2024-05-17 00:10:00,176.00,180.00,4.00,-210.00,-215.00,-5.00,8,1,HOME WIN
2024-06-06 00:05:00,164.00,168.00,4.00,-196.00,-200.00,-4.00,7,6,HOME WIN
2024-06-15 00:10:00,150.00,154.00,4.00,-178.00,-184.00,-6.00,6,5,HOME WIN
2024-07-27 00:16:00,136.00,140.00,4.00,-162.00,-166.00,-4.00,8,10,AWAY WIN
2024-08-03 01:41:00,150.00,154.00,4.00,-178.00,-184.00,-6.00,2,5,AWAY WIN
2024-08-21 00:11:00,164.00,168.00,4.00,-196.00,-200.00,-4.00,5,9,AWAY WIN
2024-08-24 02:10:00,128.00,132.00,4.00,-152.00,-156.00,-4.00,6,5,HOME WIN
2023-04-15 00:10:00,142.00,144.00,2.00,-168.00,-172.00,-4.00,2,6,AWAY WIN
2023-05-17 01:40:00,164.00,166.00,2.00,-196.00,-198.00,-2.00,4,5,AWAY WIN
2023-07-22 01:38:00,158.00,160.00,2.00,-188.00,-190.00,-2.00,8,5,HOME WIN
2023-07-30 00:40:00,152.00,154.00,2.00,-180.00,-184.00,-4.00,4,0,HOME WIN
2023-08-04 00:05:00,134.00,136.00,2.00,-158.00,-162.00,-4.00,5,3,HOME WIN
2023-09-02 23:10:00,160.00,162.00,2.00,-190.00,-215.00,-25.00,4,5,AWAY WIN
2024-05-13 22:40:26,144.00,146.00,2.00,-172.00,-186.00,-14.00,6,5,HOME WIN
2024-05-25 01:40:00,150.00,152.00,2.00,-178.00,-180.00,-2.00,0,3,AWAY WIN
2024-06-12 01:40:00,130.00,132.00,2.00,-154.00,-156.00,-2.00,4,3,HOME WIN
2024-06-26 00:10:00,164.00,166.00,2.00,-196.00,-198.00,-2.00,1,2,AWAY WIN
2024-07-07 23:11:00,136.00,138.00,2.00,-162.00,-176.00,-14.00,0,3,AWAY WIN
2024-07-27 02:16:00,142.00,144.00,2.00,-168.00,-172.00,-4.00,11,4,HOME WIN
2024-08-30 00:11:00,132.00,134.00,2.00,-156.00,-158.00,-2.00,6,3,HOME WIN
2024-09-05 01:41:00,158.00,160.00,2.00,-188.00,-190.00,-2.00,6,5,HOME WIN
